"","class","pland","pd","ed","shape_mn","pa"
"1",1,52.17391304,3623.188406,2101.449275,1.618888482,1
"2",1,51.08695652,4830.917874,2173.913043,1.542181282,1
"3",0,51.08695652,4830.917874,2173.913043,1.542181282,1
"4",1,57.60869565,3623.188406,1956.521739,1.511844635,1
"5",1,57.60869565,3623.188406,1956.521739,1.511844635,1
"6",0,58.69565217,2415.458937,1884.057971,1.743736765,1
"7",0,61.95652174,2415.458937,1992.753623,1.702675589,1
"8",0,65.2173913,2415.458937,2065.217391,1.736794654,1
"9",0,67.39130435,1207.729469,1920.289855,2.413002413,1
"10",1,75,1207.729469,1630.434783,2.347524135,1
"11",1,72.82608696,1207.729469,1739.130435,2.321219443,1
"12",1,72.82608696,1207.729469,1702.898551,2.260134721,1
"13",1,71.73913043,1207.729469,1884.057971,2.46182982,1
"14",1,72.22222222,1234.567901,1814.814815,2.29464259,1
"15",1,65.2173913,2415.458937,2065.217391,1.769341882,1
"16",1,64.13043478,1207.729469,1920.289855,2.538683764,1
"17",1,63.04347826,1207.729469,1920.289855,2.560475441,1
"18",1,61.95652174,1207.729469,1920.289855,2.582838096,1
"19",1,55.43478261,2415.458937,2318.84058,2.099963924,1
"20",1,60.86956522,1207.729469,2318.84058,3.006688972,1
"21",1,66.66666667,1234.567901,2185.185185,2.840187787,1
"22",0,64.04494382,1248.439451,2209.737828,2.715291332,1
"23",0,69.56521739,2415.458937,2282.608696,2.098084296,1
"24",1,76.92307692,1221.001221,1904.761905,2.450218649,1
"25",1,78.26086957,1207.729469,1847.826087,2.298097039,1
"26",1,77.17391304,1207.729469,1811.594203,2.314224233,1
"27",1,73.91304348,1207.729469,1884.057971,2.42535625,1
"28",1,79.34782609,1207.729469,1956.521739,2.574905238,1
"29",1,77.17391304,1207.729469,1884.057971,2.373563316,1
"30",0,61.95652174,2415.458937,2463.768116,2.006219286,1
"31",0,63.04347826,1207.729469,2246.376812,2.823088306,1
"32",1,61.95652174,2415.458937,2028.985507,1.904157213,1
"33",1,67.39130435,1207.729469,1449.275362,1.968501969,1
"34",1,70.65217391,1207.729469,1449.275362,1.860521019,1
"35",1,66.30434783,1207.729469,2427.536232,3.264940438,1
"36",1,60.86956522,2415.458937,2789.855072,2.151789663,1
"37",1,40.2173913,7246.376812,2463.768116,1.413226089,1
"38",1,64.13043478,1207.729469,1956.521739,2.668872675,1
"39",0,56.52173913,2415.458937,1992.753623,1.795259078,1
"40",1,60.86956522,4830.917874,1811.594203,1.401142891,1
"41",1,68.47826087,2415.458937,1521.73913,1.516001016,1
"42",1,78.26086957,1207.729469,1413.043478,2.062394778,1
"43",1,83.69565217,1207.729469,1449.275362,2.108270665,1
"44",1,75,1207.729469,1884.057971,2.528102915,1
"45",1,67.39130435,2415.458937,2391.304348,1.908405679,1
"46",1,65.2173913,1207.729469,2427.536232,2.775638065,1
"47",0,73.91304348,1207.729469,1956.521739,2.546624063,1
"48",0,76.08695652,1207.729469,1485.507246,1.972127205,1
"49",1,77.17391304,1207.729469,1449.275362,1.958189736,1
"50",1,73.25581395,1291.989664,1666.666667,2.267786838,1
"51",1,73.91304348,1207.729469,1702.898551,2.304088438,1
"52",1,62.92134831,2496.878901,1947.565543,1.679849759,1
"53",0,66.30434783,3623.188406,1775.362319,1.361007525,1
"54",1,66.30434783,1207.729469,1775.362319,2.240645399,1
"55",1,74.72527473,1221.001221,1758.241758,2.364722344,1
"56",1,75,1207.729469,1775.362319,2.467909988,1
"57",0,75,2415.458937,1594.202899,1.4701425,1
"58",1,81.52173913,1207.729469,1449.275362,1.962990915,1
"59",1,76.08695652,1207.729469,1739.130435,2.211172927,1
"60",0,72.82608696,1207.729469,1811.594203,2.321219443,1
"61",0,72.82608696,1207.729469,1847.826087,2.443388887,1
"62",1,68.47826087,1207.729469,1920.289855,2.330780917,1
"63",1,72.52747253,1221.001221,1904.761905,2.523375565,1
"64",1,75,1207.729469,1775.362319,2.467909988,1
"65",0,73.91304348,1207.729469,1847.826087,2.546624063,1
"66",1,71.73913043,1207.729469,1884.057971,2.523375565,1
"67",1,75,1207.729469,1739.130435,2.347524135,1
"68",0,73.33333333,1234.567901,1851.851852,2.523375565,1
"69",1,75.55555556,1234.567901,1703.703704,2.364722344,1
"70",1,75,1207.729469,1739.130435,2.347524135,1
"71",1,73.91304348,1207.729469,1811.594203,2.364722344,1
"72",1,70.32967033,1221.001221,2014.652015,2.5625,1
"73",1,80.43478261,1207.729469,1594.202899,2.150581317,1
"74",1,72.52747253,2442.002442,1868.131868,1.678329979,1
"75",0,76.08695652,1207.729469,1811.594203,2.270934358,1
"76",1,68.53932584,1248.439451,1872.659176,2.624756039,1
"77",1,72.82608696,1207.729469,1630.434783,2.199049998,1
"78",1,79.34782609,1207.729469,1485.507246,2.10674065,1
"79",1,69.56521739,1207.729469,1739.130435,2.1875,1
"80",1,73.91304348,1207.729469,1956.521739,2.607257969,1
"81",1,72.82608696,1207.729469,1992.753623,2.626643054,1
"82",1,74.72527473,1221.001221,1904.761905,2.546624063,1
"83",1,75,1207.729469,1739.130435,2.347524135,1
"84",1,76.08695652,1207.729469,1630.434783,2.270934358,1
"85",1,75,2415.458937,1630.434783,1.530776406,1
"86",1,77.17391304,2415.458937,1594.202899,1.515944318,1
"87",0,75,2415.458937,1594.202899,1.4701425,1
"88",1,75,1207.729469,1956.521739,2.528102915,1
"89",1,75,1207.729469,1920.289855,2.467909988,1
"90",1,80.21978022,1221.001221,1465.201465,1.989699502,1
"91",0,85.55555556,1234.567901,1259.259259,1.994310088,1
"92",1,82.60869565,1207.729469,1449.275362,2.179449472,1
